Number_of_Riders,Number_of_Drivers,Location_enc,Loyalty_enc,Number_of_Past_Rides,Average_Ratings,Time_enc,Vehicle_enc,Expected_Ride_Duration,demand_supply_ratio,high_demand_flag,low_supply_flag,surge_indicator,rider_driver_diff,is_premium,is_night,is_loyal_gold
54,7,2,1,91,3.75,3,0,97,6.75,0,1,0,47,0,1,0
33,14,1,1,87,4.81,1,1,17,2.2,0,0,0,19,1,0,0
68,23,1,0,96,4.77,2,0,105,2.8333333333333335,0,0,0,45,0,0,1
61,23,1,2,51,4.73,1,1,150,2.5416666666666665,0,0,0,38,1,0,0
35,24,1,0,73,3.76,1,1,105,1.4,0,0,0,11,1,0,1
75,56,1,0,94,4.79,1,1,153,1.3157894736842106,0,0,0,19,1,0,1
22,6,2,2,82,4.3,2,1,172,3.142857142857143,0,1,0,16,1,0,0
73,50,2,1,7,4.22,3,0,45,1.4313725490196079,0,0,0,23,0,1,0
92,49,2,2,9,4.23,1,1,89,1.84,1,0,0,43,1,0,0
89,54,1,0,48,4.38,0,0,24,1.6181818181818182,1,0,0,35,0,0,1
79,67,0,0,56,4.01,1,1,151,1.161764705882353,0,0,0,12,1,0,1
74,39,2,2,11,3.65,2,0,173,1.85,0,0,0,35,0,0,0
57,44,2,0,78,3.53,1,0,153,1.2666666666666666,0,0,0,13,0,0,1
96,80,2,1,47,3.77,2,0,70,1.1851851851851851,1,0,0,16,0,0,0
40,15,2,1,90,3.62,3,1,42,2.5,0,0,0,25,1,1,0
61,35,0,2,4,4.77,2,1,115,1.6944444444444444,0,0,0,26,1,0,0
45,13,0,1,96,4.84,3,0,112,3.2142857142857144,0,0,0,32,0,1,0
78,31,2,0,6,3.78,1,1,64,2.4375,0,0,0,47,1,0,1
99,6,1,0,49,4.32,0,0,113,14.142857142857142,1,1,1,93,0,0,1
81,23,2,0,39,4.3,1,0,143,3.375,0,0,0,58,0,0,1
22,7,1,0,73,4.91,2,1,73,2.75,0,1,0,15,1,0,1
100,66,1,0,27,3.53,1,1,106,1.492537313432836,1,0,0,34,1,0,1
77,43,1,1,73,4.07,0,1,131,1.75,0,0,0,34,1,0,0
97,58,2,0,1,4.11,2,1,83,1.6440677966101696,1,0,0,39,1,0,1
32,14,2,0,75,4.49,3,0,177,2.1333333333333333,0,0,0,18,0,1,1
48,38,1,2,64,4.97,3,1,152,1.2307692307692308,0,0,0,10,1,1,0
42,31,0,2,0,3.99,0,1,76,1.3125,0,0,0,11,1,0,0
55,42,1,2,24,4.49,0,0,45,1.2790697674418605,0,0,0,13,0,0,0
46,31,1,0,67,3.53,2,0,61,1.4375,0,0,0,15,0,0,1
88,7,0,0,11,3.64,3,1,130,11.0,1,1,1,81,1,1,1
68,40,1,2,58,4.64,2,1,68,1.6585365853658536,0,0,0,28,1,0,0
84,59,1,2,67,4.27,2,1,164,1.4,1,0,0,25,1,0,0
82,26,2,0,35,4.71,2,0,114,3.037037037037037,1,0,0,56,0,0,1
59,35,2,2,83,3.51,3,0,128,1.6388888888888888,0,0,0,24,0,1,0
43,16,2,2,40,4.89,3,1,106,2.5294117647058822,0,0,0,27,1,1,0
41,14,1,2,59,4.72,2,1,49,2.7333333333333334,0,0,0,27,1,0,0
31,14,2,0,37,4.3,3,1,103,2.066666666666667,0,0,0,17,1,1,1
89,10,0,2,36,4.12,0,1,13,8.090909090909092,1,1,1,79,1,0,0
27,11,2,1,97,4.78,1,1,137,2.25,0,0,0,16,1,0,0
49,30,0,2,57,4.83,1,0,154,1.5806451612903225,0,0,0,19,0,0,0
89,74,0,2,41,4.89,2,1,115,1.1866666666666668,1,0,0,15,1,0,0
33,18,2,0,90,3.61,1,1,146,1.736842105263158,0,0,0,15,1,0,1
96,23,2,0,8,4.23,2,1,90,4.0,1,0,0,73,1,0,1
69,37,1,1,47,4.39,1,1,60,1.8157894736842106,0,0,0,32,1,0,0
67,44,2,1,27,4.69,2,0,129,1.488888888888889,0,0,0,23,0,0,0
71,25,2,0,72,4.46,1,0,169,2.730769230769231,0,0,0,46,0,0,1
49,12,1,2,30,4.37,0,1,84,3.769230769230769,0,0,0,37,1,0,0
29,6,1,2,24,4.37,0,0,50,4.142857142857143,0,1,0,23,0,0,0
56,13,0,1,36,4.81,1,0,162,4.0,0,0,0,43,0,0,0
27,6,2,0,2,4.42,3,0,86,3.857142857142857,0,1,0,21,0,1,1
86,17,2,1,99,4.69,2,0,167,4.777777777777778,1,0,0,69,0,0,0
94,76,1,0,26,4.7,2,1,94,1.2207792207792207,1,0,0,18,1,0,1
64,19,1,1,35,4.02,0,0,39,3.2,0,0,0,45,0,0,0
56,29,2,0,67,4.49,0,0,125,1.8666666666666667,0,0,0,27,0,0,1
23,9,1,2,50,3.84,1,1,34,2.3,0,1,0,14,1,0,0
64,10,1,0,75,3.61,2,1,155,5.818181818181818,0,1,0,54,1,0,1
42,30,2,1,26,4.79,0,0,138,1.3548387096774193,0,0,0,12,0,0,0
34,12,1,2,38,4.18,0,0,24,2.6153846153846154,0,0,0,22,0,0,0
48,12,2,2,51,4.63,3,1,32,3.6923076923076925,0,0,0,36,1,1,0
93,23,1,2,34,4.23,1,1,125,3.875,1,0,0,70,1,0,0
74,54,2,1,16,4.35,0,1,147,1.3454545454545455,0,0,0,20,1,0,0
25,7,0,1,24,3.85,1,1,144,3.125,0,1,0,18,1,0,0
69,22,0,2,25,4.41,3,1,74,3.0,0,0,0,47,1,1,0
100,50,2,2,83,4.91,2,1,173,1.9607843137254901,1,0,0,50,1,0,0
33,6,0,0,90,4.81,3,1,139,4.714285714285714,0,1,0,27,1,1,1
46,22,2,1,9,4.33,2,0,128,2.0,0,0,0,24,0,0,0
52,14,1,2,87,3.54,0,1,98,3.466666666666667,0,0,0,38,1,0,0
32,11,1,2,30,3.53,0,1,32,2.6666666666666665,0,0,0,21,1,0,0
58,31,1,2,32,4.87,1,1,85,1.8125,0,0,0,27,1,0,0
64,45,0,0,22,3.96,3,1,118,1.391304347826087,0,0,0,19,1,1,1
76,34,1,2,10,4.92,2,0,103,2.1714285714285713,0,0,0,42,0,0,0
54,24,0,2,85,3.79,1,0,102,2.16,0,0,0,30,0,0,0
49,30,0,2,86,3.62,0,1,69,1.5806451612903225,0,0,0,19,1,0,0
53,17,0,2,78,4.03,0,1,26,2.9444444444444446,0,0,0,36,1,0,0
38,8,2,2,78,3.57,3,0,114,4.222222222222222,0,1,0,30,0,1,0
79,24,2,2,0,4.26,1,0,82,3.16,0,0,0,55,0,0,0
52,36,0,2,1,4.52,2,1,36,1.4054054054054055,0,0,0,16,1,0,0
24,7,1,0,85,4.36,3,0,169,3.0,0,1,0,17,0,1,1
54,35,2,2,11,4.49,0,1,96,1.5,0,0,0,19,1,0,0
69,7,2,1,51,4.56,0,1,103,8.625,0,1,0,62,1,0,0
42,7,0,0,90,3.67,1,0,32,5.25,0,1,0,35,0,0,1
78,35,0,1,5,4.35,1,1,100,2.1666666666666665,0,0,0,43,1,0,0
34,24,2,2,3,4.41,2,0,97,1.36,0,0,0,10,0,0,0
72,62,1,1,48,3.82,1,0,126,1.1428571428571428,0,0,0,10,0,0,0
25,7,0,2,13,4.07,0,1,60,3.125,0,1,0,18,1,0,0
42,18,1,2,39,3.94,0,0,128,2.210526315789474,0,0,0,24,0,0,0
62,39,0,0,83,3.59,0,1,47,1.55,0,0,0,23,1,0,1
91,13,0,2,32,3.6,2,1,160,6.5,1,0,0,78,1,0,0
20,8,0,2,27,4.99,2,0,83,2.2222222222222223,0,1,0,12,0,0,0
44,16,0,2,31,3.96,3,1,122,2.588235294117647,0,0,0,28,1,1,0
81,8,0,2,78,4.8,0,1,141,9.0,0,1,0,73,1,0,0
20,8,1,2,38,4.82,3,1,155,2.2222222222222223,0,1,0,12,1,1,0
28,9,2,2,26,3.95,3,1,114,2.8,0,1,0,19,1,1,0
53,10,0,2,10,3.58,1,0,168,4.818181818181818,0,1,0,43,0,0,0
20,7,2,2,55,4.43,3,0,153,2.5,0,1,0,13,0,1,0
44,18,1,0,88,3.67,3,1,50,2.3157894736842106,0,0,0,26,1,1,1
92,31,0,2,54,3.91,3,1,148,2.875,1,0,0,61,1,1,0
49,18,0,2,62,4.92,0,0,62,2.5789473684210527,0,0,0,31,0,0,0
42,19,0,1,56,4.84,1,1,144,2.1,0,0,0,23,1,0,0
55,21,0,2,49,4.59,2,0,111,2.5,0,0,0,34,0,0,0
38,7,0,0,46,3.79,3,0,78,4.75,0,1,0,31,0,1,1
85,19,0,0,17,3.69,2,0,164,4.25,1,0,0,66,0,0,1
25,6,2,1,69,4.45,1,1,94,3.5714285714285716,0,1,0,19,1,0,0
91,64,1,1,26,4.56,2,1,96,1.4,1,0,0,27,1,0,0
30,7,0,0,57,4.27,2,1,69,3.75,0,1,0,23,1,0,1
48,24,2,2,35,4.2,3,1,51,1.92,0,0,0,24,1,1,0
83,50,0,1,7,3.66,1,1,100,1.6274509803921569,1,0,0,33,1,0,0
56,15,2,0,34,4.72,3,1,78,3.5,0,0,0,41,1,1,1
68,45,0,2,65,4.19,1,0,112,1.4782608695652173,0,0,0,23,0,0,0
37,14,0,0,18,4.36,1,0,85,2.466666666666667,0,0,0,23,0,0,1
95,25,2,0,26,3.62,2,0,81,3.6538461538461537,1,0,0,70,0,0,1
26,13,1,2,4,3.63,3,1,123,1.8571428571428572,0,0,0,13,1,1,0
57,37,2,0,59,3.92,1,0,159,1.5,0,0,0,20,0,0,1
71,36,1,2,69,4.37,2,0,110,1.9189189189189189,0,0,0,35,0,0,0
55,19,1,2,74,3.51,2,0,173,2.75,0,0,0,36,0,0,0
83,29,2,2,78,4.42,0,1,23,2.7666666666666666,1,0,0,54,1,0,0
64,22,2,1,26,4.24,1,1,115,2.782608695652174,0,0,0,42,1,0,0
33,8,1,1,74,4.52,2,1,56,3.6666666666666665,0,1,0,25,1,0,0
58,13,0,1,99,3.62,2,1,106,4.142857142857143,0,0,0,45,1,0,0
53,27,1,1,78,3.63,3,1,58,1.8928571428571428,0,0,0,26,1,1,0
90,45,2,2,13,4.47,3,1,90,1.9565217391304348,1,0,0,45,1,1,0
99,54,0,2,96,3.77,0,1,61,1.8,1,0,0,45,1,0,0
57,28,2,0,27,4.58,0,0,107,1.9655172413793103,0,0,0,29,0,0,1
30,7,0,1,85,3.74,1,0,44,3.75,0,1,0,23,0,0,0
60,16,1,1,28,3.91,1,0,105,3.5294117647058822,0,0,0,44,0,0,0
58,20,0,2,42,3.51,1,0,125,2.761904761904762,0,0,0,38,0,0,0
73,27,2,1,55,4.27,2,1,50,2.607142857142857,0,0,0,46,1,0,0
91,42,1,2,76,4.96,2,0,86,2.116279069767442,1,0,0,49,0,0,0
91,30,1,0,34,3.69,0,0,96,2.935483870967742,1,0,0,61,0,0,1
26,15,2,2,10,3.71,2,1,171,1.625,0,0,0,11,1,0,0
94,71,0,1,48,4.73,3,1,169,1.3055555555555556,1,0,0,23,1,1,0
67,56,2,0,49,4.22,0,1,23,1.1754385964912282,0,0,0,11,1,0,1
24,5,0,2,57,4.96,3,1,70,4.0,0,1,0,19,1,1,0
35,16,2,1,31,4.75,0,1,113,2.0588235294117645,0,0,0,19,1,0,0
85,6,1,0,92,4.11,0,0,73,12.142857142857142,1,1,1,79,0,0,1
97,18,1,1,53,4.25,3,1,26,5.105263157894737,1,0,0,79,1,1,0
34,8,1,2,51,4.09,0,1,130,3.7777777777777777,0,1,0,26,1,0,0
55,12,2,2,96,4.66,2,1,48,4.230769230769231,0,0,0,43,1,0,0
83,14,2,1,80,4.77,3,1,64,5.533333333333333,1,0,0,69,1,1,0
80,6,0,2,43,4.81,3,0,24,11.428571428571429,0,1,0,74,0,1,0
85,36,0,2,64,4.32,1,0,152,2.2972972972972974,1,0,0,49,0,0,0
73,6,1,2,5,4.03,3,1,71,10.428571428571429,0,1,0,67,1,1,0
84,8,0,0,21,4.63,3,0,172,9.333333333333334,1,1,1,76,0,1,1
63,53,0,0,33,4.33,0,0,175,1.1666666666666667,0,0,0,10,0,0,1
42,31,1,0,62,4.95,3,1,13,1.3125,0,0,0,11,1,1,1
57,26,1,2,92,4.11,0,1,58,2.111111111111111,0,0,0,31,1,0,0
44,28,0,1,31,4.92,3,1,132,1.5172413793103448,0,0,0,16,1,1,0
88,48,2,0,52,4.52,3,0,92,1.7959183673469388,1,0,0,40,0,1,1
61,34,2,0,82,3.99,3,1,10,1.7428571428571429,0,0,0,27,1,1,1
62,33,1,1,39,3.91,1,1,129,1.8235294117647058,0,0,0,29,1,0,0
25,6,0,1,23,3.95,2,1,55,3.5714285714285716,0,1,0,19,1,0,0
86,49,2,1,99,3.51,3,0,130,1.72,1,0,0,37,0,1,0
